Block_name, x, y, z,z0,ks,theta_1,theta_5,theta_25,theta_50,theta_100,theta_200,theta_500,theta_1000,theta_2000,theta_5000,theta_10000
Soil(4.2.1),400,200,9,9,20,0.402301,0.411503,0.420026,0.419589,0.42373,0.424677,0.424555,0.42455,0.42455,0.42455,0.42455
Soil(4.2.2),400,200,10,10,20,0.401268,0.406342,0.408513,0.407876,0.413539,0.414726,0.41457,0.414564,0.414564,0.414564,0.414564
Soil(4.2.3),400,200,11,11,20,0.399517,0.397585,0.378068,0.37471,0.39723,0.400064,0.399719,0.399702,0.399702,0.399702,0.399702
Soil(4.2.4),400,200,12,12,20,0.386731,0.333654,0.220992,0.21491,0.280655,0.300215,0.29761,0.297496,0.297496,0.297496,0.297496
Soil(4.3.0),400,300,10,10,20,0.403114,0.415571,0.426754,0.421229,0.417171,0.415349,0.414582,0.414564,0.414564,0.414564,0.414564
Soil(4.3.1),400,300,11,11,20,0.402228,0.411141,0.417309,0.410258,0.40407,0.401084,0.399747,0.399702,0.399702,0.399702,0.399702
Soil(4.3.2),400,300,12,12,20,0.401179,0.405893,0.40429,0.387543,0.340402,0.310663,0.297803,0.297496,0.297496,0.297496,0.297496
Soil(4.3.3),400,300,13,13,20,0.399255,0.396274,0.341681,0.237594,0.190417,0.177682,0.17309,0.17298,0.17298,0.17298,0.17298
Soil(4.3.4),400,300,14,14,20,0.385463,0.327313,0.193434,0.154388,0.140526,0.136486,0.135089,0.135058,0.135058,0.135058,0.135058
Soil(4.4.0),400,400,12,12,20,0.402721,0.413607,0.420374,0.411151,0.394231,0.333085,0.298216,0.297498,0.297496,0.297496,0.297496
Soil(4.4.1),400,400,13,13,20,0.401798,0.408989,0.409005,0.390517,0.261403,0.186972,0.173239,0.172981,0.17298,0.17298,0.17298
Soil(4.4.2),400,400,14,14,20,0.40054,0.402699,0.375246,0.247332,0.161475,0.139503,0.13513,0.135058,0.135058,0.135058,0.135058
Soil(4.4.3),400,400,15,15,20,0.395248,0.37624,0.229059,0.157376,0.131463,0.123509,0.12215,0.122121,0.122121,0.122121,0.122121
Soil(4.4.4),400,400,16,16,20,0.379715,0.298574,0.152028,0.130021,0.120904,0.117754,0.117551,0.117547,0.117547,0.117547,0.117547
